       1      2     		
 276   17.0   41.0
 277   98.0   80.0
 278   73.0   72.0
 279   44.0   87.0
 280   65.0   59.0
 281   76.0   63.0
 282   55.0   20.0
 283   26.0   39.0
 284   53.0   70.0
 285   55.0   92.0
 286   46.0   39.0
 287   49.0   28.0
 288   57.0   58.0
 289   97.0   89.0
 290   86.0   45.0
 291   69.0   82.0
 292   86.0   45.0
 293   97.0   35.0
 294   56.0   84.0
 295   75.0   66.0
 296   28.0   59.0
 297   88.0   45.0
 298   98.0   19.0
 299   74.0   23.0
 300   83.0   26.0
 301   79.0   86.0
 302   24.0   31.0
 303   76.0   74.0
 304   39.0   75.0
 305   59.0   44.0
 306   87.0   23.0
 307   37.0   99.0
 308   85.0   50.0
 309   32.0   27.0
 310  100.0   99.0
 311   59.0   20.0
 312   68.0   76.0
 313   42.0   36.0
 314   38.0   83.0
 315   62.0   93.0
 316   75.0   92.0
 317   86.0   52.0
 318   92.0   98.0
 319   38.0   93.0
 320   95.0   15.0
 321   52.0   63.0
 322   36.0   67.0
 323   12.0  100.0
 324   14.0   41.0
 325   97.0   15.0
 326   27.0   22.0
 327   64.0   28.0
 328   39.0   52.0
 329   38.0   68.0
 330   19.0   55.0
 331   44.0   46.0
 332   92.0   47.0
 333   86.0   97.0
 334   59.0   18.0
 335   83.0   71.0
 336   82.0   68.0
 337   83.0   76.0
 338   49.0   74.0
 339   61.0   65.0
 340   31.0   37.0
 341   93.0   72.0
 342   96.0   53.0
 343   34.0   77.0
 344   54.0   58.0
 345   44.0   28.0
 346   50.0  100.0
 347   66.0   34.0
 348   34.0   17.0
 349   48.0   30.0
 350   73.0   84.0
 351   81.0   59.0
 352   89.0   19.0
 353   97.0   57.0
 354   46.0   28.0
 355   24.0   44.0
 356   98.0   85.0
 357   73.0   99.0
 358   62.0   46.0
 359   14.0   31.0
 360   31.0   69.0
 361   19.0   82.0
 362   31.0   92.0
 363   65.0   13.0
 364   17.0   86.0
 365   98.0   85.0
 366   71.0   41.0
 367   39.0   12.0
 368   10.0   15.0
 369   62.0   54.0
 370  100.0   64.0
 371   92.0   67.0
 372   68.0   68.0
 373   64.0   34.0
 374   47.0   75.0
 375   90.0   76.0
 376   13.0   19.0
 377   74.0   86.0
 378   29.0   62.0
 379   26.0   80.0
 380   56.0   72.0
 381   75.0   32.0
 382   67.0   45.0
 383   45.0   22.0
 384   89.0   88.0
 385   63.0   16.0
 386   77.0   26.0
 387   83.0   44.0
 388   23.0   65.0
 389   72.0  100.0
 390   52.0   23.0
 391   54.0   48.0
 392   57.0   22.0
 393   38.0   58.0
 394   83.0   29.0
 395   28.0   50.0
 396   50.0   22.0
 397   74.0   55.0
 398   54.0   61.0
 399   66.0   81.0
 400   86.0   48.0
 401   96.0   41.0
 402   90.0   94.0
 403   39.0   48.0
 404   27.0   23.0
 405   90.0   19.0
 406   57.0   20.0
 407   65.0   91.0
 408   88.0   76.0
 409   72.0   85.0
 410   30.0   70.0
 411   15.0   81.0
 412   67.0   65.0
 413   50.0   68.0
 414   83.0   20.0
 415   44.0   57.0
 416   84.0   58.0
 417   41.0   15.0
 418   69.0   59.0
 419   87.0   43.0
 420   55.0   58.0
 421   70.0   45.0
 422   10.0   79.0
 423   51.0   74.0
 424   11.0   43.0
 425   31.0   42.0
 426   41.0   62.0
 427   18.0   13.0
 428   46.0   23.0
 429   59.0   23.0
 430   97.0   26.0
 431   95.0   77.0
 432   81.0   85.0
 433   18.0   88.0
 434   81.0   58.0
 435   64.0   44.0
 436   34.0   66.0
 437   38.0   32.0
 438   20.0   22.0
 439   98.0   14.0
 440   78.0   60.0
 441   28.0   73.0
 442   83.0   30.0
 443   31.0   64.0
 444   87.0   57.0
 445   25.0   52.0
 446   18.0   56.0
 447   29.0   53.0
 448   42.0   56.0
 449   43.0   13.0
 450   88.0   21.0
 451   31.0   65.0
 452   52.0   28.0
 453   23.0   19.0
 454   99.0   89.0
 455   17.0   11.0
 456   52.0   45.0
 457   79.0   11.0
 458   26.0   89.0
 459   21.0   35.0
 460   99.0   50.0
 461   29.0   84.0
 462   27.0   69.0
 463   81.0   70.0
 464   85.0   59.0
 465   20.0   67.0
 466   15.0   47.0
 467   60.0   91.0
 468  100.0   86.0
 469   76.0   86.0
 470   40.0   43.0
 471   31.0   24.0
 472   50.0   89.0
 473   57.0   23.0
 474   59.0   29.0
 475   44.0   71.0
 476   48.0   29.0
 477   55.0   11.0
 478   70.0  100.0
 479   21.0   93.0
 480   34.0   85.0
 481   84.0   63.0
 482   67.0   15.0
 483   79.0   62.0
 484   33.0   53.0
 485   72.0   42.0
 486   66.0   82.0
 487   77.0   18.0
 488   56.0   59.0
 489   20.0   98.0
 490   98.0   11.0
 491   25.0   39.0
 492   65.0   90.0
 493   46.0   63.0
 494  100.0   65.0
 495   45.0   66.0
 496   60.0   80.0
 497   17.0   38.0
 498   28.0   64.0
 499   22.0   23.0
 500   61.0   42.0
